subject,trial,condition,rt
1,21,incongruent,846
1,22,incongruent,778
1,23,congruent,393
1,24,congruent,366
1,25,incongruent,782
1,26,congruent,387
1,27,incongruent,904
1,28,congruent,310
1,29,congruent,328
1,30,congruent,414
1,31,incongruent,742
1,32,incongruent,743
1,33,congruent,372
1,34,congruent,404
1,35,incongruent,871
1,36,congruent,370
1,37,congruent,397
1,38,congruent,428
1,39,incongruent,862
1,40,congruent,380
1,41,congruent,341
1,42,congruent,380
1,43,congruent,394
1,44,incongruent,810
1,45,congruent,404
1,46,incongruent,815
1,47,incongruent,838
1,48,congruent,352
1,49,congruent,366
1,50,congruent,450
1,51,incongruent,878
1,52,congruent,411
1,53,incongruent,803
1,54,incongruent,868
1,55,congruent,366
1,56,congruent,377
1,57,congruent,395
1,58,incongruent,932
1,59,incongruent,836
1,60,congruent,370
1,61,congruent,331
1,62,congruent,373
1,63,congruent,345
1,64,incongruent,826
1,65,congruent,393
1,66,incongruent,933
1,67,congruent,390
1,68,incongruent,807
1,69,incongruent,850
1,70,congruent,400
1,71,incongruent,813
1,72,incongruent,800
1,73,incongruent,851
1,74,incongruent,884
1,75,incongruent,727
1,76,congruent,329
1,77,incongruent,732
1,78,congruent,320
1,79,congruent,364
1,80,congruent,373
1,81,incongruent,763
1,82,incongruent,750
1,83,congruent,287
1,84,congruent,376
1,85,congruent,383
1,86,congruent,393
1,87,congruent,319
1,88,congruent,357
1,89,congruent,379
1,90,incongruent,752
1,91,incongruent,794
1,92,incongruent,862
1,93,incongruent,766
1,94,congruent,341
1,95,incongruent,788
1,96,incongruent,681
1,97,incongruent,712
1,98,incongruent,836
1,99,incongruent,835
1,100,congruent,374
1,101,congruent,384
1,102,congruent,321
1,103,incongruent,816
1,104,incongruent,778
1,105,congruent,386
1,106,congruent,355
1,107,congruent,324
1,108,incongruent,838
1,109,incongruent,821
1,110,incongruent,774
1,111,congruent,315
1,112,incongruent,801
1,113,incongruent,831
1,114,congruent,368
1,115,congruent,391
1,116,congruent,355
1,117,incongruent,823
1,118,congruent,368
1,119,incongruent,778
1,120,congruent,319
1,121,incongruent,784
1,122,incongruent,840
1,123,incongruent,823
1,124,congruent,319
1,125,incongruent,765
1,126,incongruent,789
1,127,incongruent,770
1,128,incongruent,870
1,129,congruent,345
1,130,incongruent,854
1,131,incongruent,861
1,132,incongruent,759
1,133,congruent,309
1,134,congruent,351
1,135,incongruent,873
1,136,congruent,347
1,137,congruent,355
1,138,incongruent,860
1,139,congruent,400
1,140,incongruent,956
1,141,congruent,342
1,142,congruent,412
1,143,congruent,389
1,144,congruent,345
1,145,incongruent,747
1,146,incongruent,766
1,147,congruent,389
1,148,congruent,364
1,149,incongruent,683
1,150,congruent,380
1,151,incongruent,843
1,152,incongruent,862
1,153,congruent,345
1,154,congruent,399
1,155,incongruent,832
1,156,incongruent,890
1,157,incongruent,772
1,158,incongruent,812
1,159,congruent,380
1,160,congruent,367
1,161,incongruent,826
1,162,incongruent,846
1,163,congruent,348
1,164,incongruent,821
1,165,congruent,384
1,166,incongruent,727
1,167,incongruent,785
1,168,incongruent,805
1,169,incongruent,654
1,170,congruent,339
1,171,congruent,405
1,172,congruent,337
1,173,incongruent,804
1,174,incongruent,789
1,175,incongruent,844
1,176,incongruent,808
1,177,incongruent,856
1,178,congruent,360
1,179,congruent,364
1,180,congruent,277
1,181,incongruent,807
1,182,incongruent,728
1,183,congruent,340
1,184,congruent,368
1,185,congruent,370
1,186,incongruent,859
1,187,congruent,365
1,188,congruent,377
1,189,congruent,376
1,190,incongruent,751
